reads	unique_genes	unique_isoforms	unique_genes_known	unique_isoforms_known
32150000	20492	242803	18060	53819
32200000	20493	242835	18061	53821
32250000	20494	242878	18062	53825
32300000	20496	242929	18064	53829
32350000	20499	242966	18065	53832
32400000	20500	243004	18066	53835
32450000	20500	243038	18066	53837
32500000	20502	243082	18067	53840
32550000	20502	243119	18067	53842
32600000	20503	243145	18068	53844
32650000	20503	243182	18068	53848
32700000	20504	243213	18068	53849
32750000	20505	243244	18068	53850
32800000	20507	243283	18070	53856
32850000	20507	243314	18070	53857
32900000	20508	243345	18071	53860
32950000	20509	243377	18072	53864
33000000	20512	243419	18075	53870
33050000	20512	243445	18075	53871
33100000	20514	243471	18076	53873
33150000	20515	243503	18077	53875
33200000	20515	243529	18077	53879
33250000	20515	243557	18077	53882
33300000	20515	243584	18077	53883
33350000	20515	243616	18077	53883
33400000	20517	243649	18077	53885
33450000	20518	243685	18077	53885
33500000	20521	243701	18078	53887
33550000	20522	243739	18079	53889
33600000	20523	243775	18080	53893
33650000	20525	243817	18081	53895
33700000	20525	243841	18081	53897
33750000	20526	243868	18082	53899
33800000	20527	243898	18083	53900
33850000	20528	243924	18083	53902
33900000	20528	243950	18083	53904
33950000	20529	243967	18083	53905
34000000	20529	243997	18083	53908
34050000	20529	244027	18083	53911
34100000	20529	244053	18083	53911
34150000	20530	244074	18084	53913
34200000	20532	244100	18084	53916
34250000	20532	244121	18084	53918
34300000	20532	244145	18084	53919
34350000	20532	244167	18084	53919
34400000	20533	244191	18085	53920
34450000	20533	244208	18085	53923
34500000	20536	244231	18087	53927
34550000	20536	244251	18087	53929
34600000	20537	244272	18088	53934
34650000	20538	244305	18089	53936
34700000	20541	244330	18090	53939
34750000	20541	244348	18090	53941
34800000	20542	244369	18091	53943
34850000	20542	244387	18091	53944
34900000	20544	244412	18092	53946
34950000	20544	244432	18092	53947
35000000	20545	244455	18092	53949
35050000	20545	244471	18092	53950
35100000	20545	244486	18092	53951
35150000	20545	244506	18092	53954
35200000	20545	244535	18092	53955
35250000	20546	244556	18092	53959
35300000	20548	244573	18092	53960
35350000	20549	244584	18093	53960
35400000	20549	244602	18093	53961
35450000	20549	244612	18093	53961
35500000	20550	244628	18093	53961
35550000	20550	244641	18093	53962
35600000	20550	244656	18093	53962
35650000	20550	244672	18093	53964
35700000	20551	244682	18093	53964
35750000	20554	244698	18093	53964
35800000	20555	244718	18094	53965
35850000	20555	244736	18094	53966
35900000	20556	244749	18094	53966
35950000	20556	244765	18094	53966
36000000	20556	244780	18094	53966
36050000	20557	244796	18095	53967
36100000	20557	244806	18095	53967
36150000	20557	244819	18095	53967
36200000	20557	244837	18095	53967
36250000	20557	244859	18095	53967
36300000	20557	244873	18095	53967
36350000	20557	244886	18095	53968
36400000	20558	244894	18096	53968
36450000	20558	244907	18096	53968
36500000	20558	244923	18096	53968
36550000	20558	244931	18096	53968
36600000	20559	244940	18096	53969
36650000	20559	244945	18096	53972
36700000	20559	244952	18096	53973
36750000	20559	244960	18096	53973
